iter	Logloss
0	0.6921533409
1	0.6909024499
2	0.6892722842
3	0.6878166114
4	0.6869279332
5	0.6856188904
6	0.6837616667
7	0.6818657414
8	0.6804936313
9	0.6789275153
10	0.6777212215
11	0.6767400051
12	0.6751038097
13	0.6739594227
14	0.6721543589
15	0.6705164425
16	0.669316585
17	0.6681642275
18	0.6671243022
19	0.6658788438
20	0.6643886665
21	0.6630836805
22	0.6616451638
23	0.6604241748
24	0.6586375347
25	0.6571464908
26	0.6560223922
27	0.6551069186
28	0.6537088567
29	0.6521012521
30	0.6507339461
31	0.6495624029
32	0.6488464083
33	0.6474899552
34	0.6461773596
35	0.6446260389
36	0.643521075
37	0.6414831828
38	0.6402041514
39	0.6391822226
40	0.6380903099
41	0.6366767222
42	0.6355559862
43	0.6339717025
44	0.6329665411
45	0.6310671539
46	0.6299473834
47	0.6282784754
48	0.6265982331
49	0.6248729611
50	0.6228647401
51	0.6215225866
52	0.6200915348
53	0.6191954924
54	0.6175313378
55	0.6165181418
56	0.6152801306
57	0.6141255012
58	0.6125512376
59	0.6117516445
60	0.6102117656
61	0.6086569934
62	0.6075015457
63	0.6060204234
64	0.6050031269
65	0.6038651661
66	0.6022000961
67	0.6008751541
68	0.599540312
69	0.5983223164
70	0.5967633303
71	0.5955674603
72	0.5941734178
73	0.5927918009
74	0.5915408951
75	0.5903861581
76	0.5895175584
77	0.588138257
78	0.5869659684
79	0.5856388743
80	0.5841293115
81	0.5831541581
82	0.5821378633
83	0.5804318086
84	0.5795218601
85	0.5783778047
86	0.577352494
87	0.576436609
88	0.5750330311
89	0.5740993943
90	0.5729898914
91	0.5717592265
92	0.5709247408
93	0.5694552854
94	0.5684561315
95	0.5673301894
96	0.5658869562
97	0.5644884122
98	0.5633015283
99	0.5619798238
100	0.5609162839
101	0.5595708528
102	0.5583196062
103	0.5570579404
104	0.5557626913
105	0.5544137203
106	0.5534080254
107	0.5521266046
108	0.5508791338
109	0.5496015626
110	0.5486238042
111	0.5477513179
112	0.5467568144
113	0.5456233958
114	0.544559515
115	0.543671389
116	0.5425965682
117	0.5417183249
118	0.5406718047
119	0.5394829758
120	0.5383401241
121	0.5372107534
122	0.5363588424
123	0.535350083
124	0.5344513875
125	0.5329944582
126	0.5318716298
127	0.5306768741
128	0.5297995547
129	0.5286936579
130	0.5275818511
131	0.5263116787
132	0.5251722556
133	0.5240774673
134	0.5228799167
135	0.5218468347
136	0.520628968
137	0.519802845
138	0.5187083146
139	0.5177527381
140	0.5165982985
141	0.5156251127
142	0.5147349485
143	0.5138053117
144	0.5124713014
145	0.5115225458
146	0.5102721608
147	0.5095164931
148	0.5088060706
149	0.5079138707
150	0.5067862842
151	0.5061913573
152	0.5051939371
153	0.5039619207
154	0.502824598
155	0.5018391324
156	0.5004514145
157	0.4996009352
158	0.4987543821
159	0.4980369612
160	0.4971532899
161	0.4959331932
162	0.4946341178
163	0.4934227078
164	0.4925010684
165	0.4910133313
166	0.4896331339
167	0.4884132834
168	0.4875158214
169	0.4869659569
170	0.4857945131
171	0.4847489712
172	0.4837918074
173	0.4829572102
174	0.4820337762
175	0.4808553133
176	0.4796930331
177	0.4787715051
178	0.4776742653
179	0.4765146051
180	0.4756935511
181	0.4748943811
182	0.4740347538
183	0.4732431484
184	0.4722196874
185	0.4713849736
186	0.4703590598
187	0.4695810494
188	0.4688634691
189	0.4678726494
190	0.467046897
191	0.4662833719
192	0.465187547
193	0.4642382057
194	0.4631881532
195	0.4625482507
196	0.461597865
197	0.4607071902
198	0.4599899157
199	0.4592551978
200	0.4585654684
201	0.4577272457
202	0.4565010745
203	0.4556184541
204	0.4549437658
205	0.4540539565
206	0.4531037004
207	0.4520609897
208	0.4513384078
209	0.450483602
210	0.449460141
211	0.4484761539
212	0.4475912504
213	0.4467394507
214	0.4455738301
215	0.4449065276
216	0.4439340363
217	0.4433389773
218	0.4426021757
219	0.4416159547
220	0.4407807355
221	0.4403317104
222	0.4394289488
223	0.4386798428
224	0.4378734101
225	0.437205934
226	0.4364087633
227	0.4356201628
228	0.4350661609
229	0.4343619139
230	0.4336777329
231	0.4329188492
232	0.4320796313
233	0.4313250702
234	0.4304725398
235	0.4295676117
236	0.428840829
237	0.4280948561
238	0.4274027995
239	0.4265310039
240	0.4258302632
241	0.4251052349
242	0.424454391
243	0.4237554825
244	0.423241719
245	0.4225162656
246	0.4217823459
247	0.4208996736
248	0.4201287912
249	0.4194961916
250	0.4187265816
251	0.4177174568
252	0.4169988166
253	0.4163682564
254	0.4155508539
255	0.4148625913
256	0.414084888
257	0.4133924298
258	0.4127306342
259	0.4122402668
260	0.4115224921
261	0.4106263726
262	0.4096833208
263	0.4089705322
264	0.4082742722
265	0.4073731407
266	0.4069969861
267	0.4063807285
268	0.4055144035
269	0.4045757237
270	0.4039560271
271	0.4032567714
272	0.402382747
273	0.4014927667
274	0.4005978341
275	0.3999394178
276	0.3991087131
277	0.3986792616
278	0.3979876326
279	0.3974563894
280	0.3966913016
281	0.3960165977
282	0.3955792318
283	0.3947800916
284	0.3941229893
285	0.3936014512
286	0.3930360545
287	0.3922936165
288	0.3915918547
289	0.390786964
290	0.3901481266
291	0.3897753047
292	0.3890446943
293	0.3884463751
294	0.3879353119
295	0.3872425841
296	0.3866776539
297	0.3860066067
298	0.3853523628
299	0.3846745025
300	0.3838693007
301	0.3830746568
302	0.3822750268
303	0.3815681338
304	0.3809009091
305	0.3801079755
306	0.3794270158
307	0.3788517947
308	0.3784206173
309	0.3777629215
