iter	Passed	Remaining
0	8	8702
1	14	7328
2	20	6943
3	27	6736
4	32	6467
5	38	6418
6	44	6363
7	50	6226
8	55	6153
9	61	6090
10	67	6052
11	73	6052
12	79	6019
13	85	5986
14	90	5969
15	96	5946
16	102	5925
17	108	5893
18	114	5886
19	119	5838
20	124	5799
21	130	5782
22	135	5747
23	141	5747
24	147	5765
25	154	5797
26	161	5810
27	166	5785
28	172	5761
29	178	5768
30	184	5768
31	191	5779
32	197	5776
33	203	5775
34	209	5766
35	216	5807
36	226	5885
37	235	5961
38	243	6010
39	252	6053
40	260	6087
41	268	6135
42	277	6165
43	284	6189
44	292	6210
45	300	6231
46	310	6287
47	319	6342
48	326	6332
49	332	6324
50	339	6326
51	346	6311
52	353	6315
53	360	6317
54	367	6311
55	373	6297
56	380	6292
57	386	6278
58	392	6267
59	400	6268
60	406	6259
61	415	6293
62	423	6293
63	430	6301
64	440	6331
65	449	6362
66	457	6377
67	467	6403
68	477	6442
69	485	6449
70	492	6442
71	498	6429
72	505	6421
73	512	6413
74	519	6411
75	526	6397
76	532	6384
77	539	6376
78	545	6365
79	552	6348
80	558	6338
81	565	6334
82	571	6313
83	577	6293
84	583	6281
85	590	6271
86	598	6279
87	606	6282
88	614	6292
89	623	6303
90	631	6303
91	639	6306
92	646	6303
93	653	6298
94	659	6287
95	667	6281
96	674	6282
97	681	6270
98	687	6257
99	693	6241
100	699	6227
101	705	6214
102	711	6200
103	718	6194
104	726	6190
105	733	6183
106	738	6166
107	744	6151
108	750	6134
109	756	6119
110	762	6103
111	767	6085
112	774	6077
113	780	6062
114	785	6048
115	791	6034
116	797	6018
117	803	6004
118	811	6005
119	816	5989
120	823	5981
121	829	5971
122	835	5959
123	842	5954
124	848	5938
125	854	5926
126	860	5911
127	865	5899
128	872	5888
129	877	5870
130	882	5857
131	889	5848
132	894	5832
133	900	5818
134	906	5805
135	912	5796
136	918	5783
137	923	5770
138	929	5759
139	943	5794
140	948	5779
141	954	5765
142	959	5752
143	966	5742
144	971	5728
145	976	5713
146	982	5702
147	988	5692
148	994	5681
149	1000	5670
150	1006	5658
151	1012	5647
152	1017	5633
153	1022	5619
154	1028	5608
155	1033	5594
156	1039	5584
157	1045	5573
158	1051	5562
159	1057	5551
160	1063	5542
161	1093	5658
162	1099	5647
163	1106	5638
164	1113	5636
165	1121	5632
166	1127	5623
167	1133	5614
168	1140	5607
169	1146	5597
170	1152	5587
171	1158	5577
172	1164	5567
173	1170	5558
174	1174	5536
175	1181	5533
176	1189	5532
177	1202	5550
178	1209	5546
179	1216	5539
180	1222	5533
181	1232	5537
182	1239	5532
183	1246	5527
184	1252	5516
185	1259	5511
186	1265	5504
187	1271	5492
188	1277	5482
189	1283	5471
190	1289	5459
191	1294	5448
192	1298	5430
193	1304	5417
194	1309	5407
195	1315	5396
196	1321	5385
197	1327	5376
198	1332	5364
199	1338	5355
200	1344	5345
201	1350	5336
202	1356	5326
203	1363	5318
204	1369	5309
205	1374	5297
206	1379	5285
207	1385	5274
208	1390	5263
209	1397	5256
210	1403	5247
211	1408	5236
212	1414	5225
213	1419	5213
214	1424	5201
215	1429	5190
216	1435	5180
217	1441	5169
218	1446	5158
219	1452	5148
220	1457	5137
221	1462	5127
222	1468	5117
223	1474	5108
224	1480	5099
225	1486	5090
226	1491	5080
227	1497	5070
228	1503	5060
229	1508	5050
230	1514	5040
231	1519	5029
232	1524	5018
233	1529	5007
234	1536	5000
235	1541	4991
236	1547	4981
237	1553	4972
238	1558	4963
239	1564	4954
240	1569	4944
241	1575	4934
242	1581	4925
243	1587	4917
244	1593	4911
245	1599	4901
246	1605	4892
247	1610	4883
248	1616	4875
249	1622	4866
250	1627	4856
251	1633	4847
252	1638	4838
253	1644	4830
254	1650	4821
255	1655	4811
256	1662	4805
257	1668	4798
258	1674	4789
259	1679	4780
260	1685	4771
261	1690	4763
262	1696	4754
263	1702	4745
264	1707	4736
265	1713	4728
266	1731	4752
267	1736	4743
268	1742	4734
269	1748	4726
270	1753	4717
271	1759	4708
272	1764	4699
273	1771	4693
274	1776	4684
275	1782	4675
276	1785	4661
277	1791	4652
278	1796	4643
279	1802	4635
280	1808	4626
281	1813	4616
282	1818	4607
283	1823	4597
284	1828	4588
285	1834	4580
286	1840	4571
287	1845	4561
288	1850	4552
289	1856	4544
290	1861	4534
291	1866	4525
292	1871	4516
293	1878	4511
294	1885	4506
295	1892	4500
296	1898	4494
297	1904	4487
298	1910	4479
299	1917	4473
300	1923	4467
301	1929	4460
302	1936	4453
303	1943	4449
304	1950	4444
305	1956	4438
306	1962	4431
307	1969	4425
308	1976	4419
309	1981	4411
310	1988	4405
311	1994	4397
312	2000	4389
313	2003	4377
314	2010	4371
315	2015	4362
316	2021	4355
317	2027	4347
318	2032	4338
319	2037	4330
320	2043	4323
321	2049	4315
322	2055	4308
323	2062	4302
324	2068	4295
325	2073	4287
326	2079	4278
327	2084	4270
328	2090	4263
329	2095	4254
330	2100	4246
331	2106	4238
332	2111	4229
333	2117	4221
334	2122	4213
335	2127	4205
336	2133	4197
337	2139	4189
338	2144	4180
339	2150	4173
340	2155	4166
341	2161	4158
342	2167	4150
343	2172	4142
344	2178	4135
345	2183	4127
346	2190	4121
347	2196	4114
348	2201	4106
349	2206	4098
350	2212	4090
351	2218	4083
352	2223	4075
353	2228	4066
354	2234	4060
355	2240	4053
356	2246	4046
357	2252	4038
358	2257	4031
359	2264	4024
360	2269	4018
361	2275	4010
362	2281	4003
363	2286	3995
364	2292	3988
365	2298	3981
366	2304	3974
367	2310	3967
368	2315	3960
369	2322	3954
370	2328	3947
371	2334	3941
372	2341	3935
373	2347	3929
374	2354	3923
375	2360	3916
376	2365	3909
377	2371	3903
378	2378	3896
379	2383	3889
380	2389	3882
381	2395	3875
382	2401	3868
383	2407	3861
384	2413	3854
385	2418	3847
386	2424	3840
387	2430	3833
388	2436	3826
389	2442	3819
390	2447	3812
391	2453	3806
392	2460	3799
393	2466	3793
394	2472	3786
395	2478	3779
396	2484	3773
397	2489	3765
398	2495	3758
399	2501	3751
400	2506	3744
401	2512	3737
402	2518	3730
403	2524	3723
404	2530	3717
405	2536	3711
406	2542	3703
407	2547	3696
408	2553	3689
409	2559	3682
410	2564	3675
411	2570	3668
412	2576	3661
413	2581	3654
414	2587	3647
415	2593	3640
416	2598	3633
417	2604	3626
418	2610	3619
419	2616	3612
420	2621	3605
421	2627	3598
422	2633	3592
423	2639	3585
424	2648	3582
425	2654	3576
426	2660	3569
427	2665	3562
428	2671	3555
429	2677	3549
430	2683	3542
431	2688	3535
432	2694	3528
433	2700	3521
434	2706	3514
435	2711	3507
436	2716	3500
437	2722	3493
438	2727	3485
439	2733	3479
440	2739	3471
441	2744	3464
442	2749	3457
443	2754	3449
444	2760	3442
445	2765	3435
446	2770	3427
447	2776	3421
448	2781	3413
449	2787	3406
450	2792	3399
451	2797	3391
452	2802	3384
453	2807	3376
454	2812	3369
455	2818	3362
456	2824	3356
457	2830	3350
458	2837	3344
459	2843	3338
460	2849	3332
461	2856	3325
462	2859	3316
463	2865	3310
464	2872	3304
465	2876	3296
466	2883	3290
467	2889	3284
468	2895	3278
469	2902	3273
470	2909	3267
471	2914	3260
472	2920	3253
473	2926	3247
474	2932	3240
475	2938	3234
476	2944	3228
477	2950	3221
478	2956	3215
479	2961	3208
480	2967	3202
481	2973	3195
482	2979	3188
483	2984	3182
484	2990	3175
485	2995	3168
486	3002	3162
487	3008	3155
488	3013	3148
489	3020	3143
490	3026	3137
491	3032	3130
492	3038	3124
493	3045	3119
494	3052	3113
495	3058	3107
496	3064	3101
497	3071	3096
498	3077	3089
499	3083	3083
500	3089	3077
501	3095	3070
502	3101	3064
503	3107	3058
504	3114	3053
505	3120	3046
506	3127	3041
507	3133	3034
508	3139	3028
509	3146	3022
510	3152	3016
511	3158	3010
512	3165	3004
513	3171	2998
514	3176	2991
515	3184	2986
516	3190	2980
517	3196	2974
518	3201	2967
519	3208	2961
520	3214	2955
521	3219	2948
522	3227	2943
523	3233	2937
524	3239	2930
525	3244	2923
526	3250	2917
527	3256	2910
528	3292	2931
529	3297	2924
530	3303	2917
531	3309	2911
532	3315	2904
533	3320	2897
534	3326	2891
535	3331	2883
536	3336	2876
537	3342	2870
538	3347	2863
539	3352	2856
540	3358	2849
541	3364	2843
542	3371	2837
543	3382	2835
544	3388	2828
545	3394	2822
546	3400	2816
547	3406	2809
548	3412	2803
549	3418	2797
550	3424	2790
551	3430	2784
552	3436	2777
553	3443	2772
554	3449	2766
555	3456	2759
556	3462	2753
557	3468	2747
558	3475	2741
559	3481	2735
560	3487	2728
561	3493	2722
562	3499	2716
563	3504	2709
564	3510	2703
565	3517	2696
566	3523	2690
567	3529	2684
568	3535	2678
569	3541	2671
570	3547	2665
571	3552	2658
572	3558	2651
573	3564	2645
574	3570	2638
575	3573	2630
576	3579	2623
577	3584	2616
578	3590	2610
579	3596	2604
580	3601	2597
581	3607	2590
582	3612	2583
583	3618	2577
584	3624	2571
585	3628	2563
586	3633	2556
587	3639	2550
588	3644	2543
589	3650	2536
590	3656	2530
591	3661	2523
592	3667	2516
593	3673	2510
594	3678	2504
595	3685	2498
596	3690	2491
597	3696	2484
598	3702	2478
599	3707	2471
600	3714	2465
601	3719	2459
602	3722	2450
603	3728	2444
604	3734	2438
605	3740	2431
606	3745	2425
607	3751	2418
608	3757	2412
609	3764	2406
610	3770	2400
611	3775	2393
612	3780	2386
613	3786	2380
614	3791	2373
615	3796	2366
616	3801	2359
617	3806	2353
618	3812	2346
619	3817	2339
620	3823	2333
621	3828	2326
622	3834	2320
623	3840	2313
624	3846	2307
625	3851	2301
626	3858	2295
627	3863	2288
628	3871	2283
629	3879	2278
630	3885	2272
631	3891	2266
632	3897	2259
633	3902	2252
634	3908	2246
635	3913	2239
636	3919	2233
637	3924	2226
638	3929	2219
639	3934	2213
640	3940	2206
641	3945	2200
642	3950	2193
643	3956	2187
644	3962	2180
645	3967	2174
646	3973	2167
647	3978	2161
648	3984	2154
649	3990	2148
650	3995	2142
651	4001	2135
652	4007	2129
653	4013	2123
654	4019	2117
655	4025	2110
656	4031	2104
657	4036	2098
658	4042	2091
659	4048	2085
660	4053	2079
661	4059	2072
662	4065	2066
663	4071	2060
664	4077	2054
665	4083	2047
666	4089	2041
667	4094	2035
668	4100	2028
669	4105	2022
670	4111	2015
671	4117	2009
672	4122	2003
673	4129	1997
674	4134	1990
675	4140	1984
676	4146	1978
677	4151	1971
678	4157	1965
679	4163	1959
680	4169	1952
681	4174	1946
682	4180	1940
683	4186	1933
684	4191	1927
685	4197	1921
686	4203	1915
687	4209	1909
688	4215	1902
689	4221	1896
690	4226	1889
691	4232	1883
692	4237	1877
693	4243	1871
694	4249	1864
695	4255	1858
696	4261	1852
697	4267	1846
698	4273	1840
699	4279	1833
700	4284	1827
701	4290	1821
702	4296	1815
703	4302	1809
704	4307	1802
705	4311	1795
706	4317	1789
707	4322	1782
708	4327	1776
709	4333	1769
710	4338	1763
711	4344	1757
712	4350	1751
713	4356	1745
714	4362	1738
715	4368	1732
716	4374	1726
717	4380	1720
718	4386	1714
719	4392	1708
720	4398	1701
721	4404	1695
722	4410	1689
723	4415	1683
724	4422	1677
725	4428	1671
726	4433	1664
727	4439	1658
728	4445	1652
729	4451	1646
730	4456	1639
